name,company,phase,phone,email,website,address,city,state,zip,notes
A. Santo,A. Santo,Nao contactado,+351 214 819 100,geral@santo.pt,https://santo.pt,"Av. Valbom, 15, 2750-508 Cascais",Cascais,Lisboa,,"Perfil: Construção e promoção imobiliária; projetos residenciais e de uso misto | Notas: Grupo com atividade em promoção, construção e investimento imobiliário. | Fontes: turn5view0; turn12search30"
Activos Reais,Activos Reais,Nao contactado,+351 213 423 114,activosreais@activosreais.pt,https://www.activosreais.pt,"Beco dos Apóstolos, n.º 3, 1.º, 1200-028 Lisboa",Lisboa,Lisboa,,"Perfil: Promoção e reabilitação imobiliária | Notas: Foco em reabilitação urbana, sobretudo em zonas históricas de Lisboa. | Fontes: turn5view1; turn12search23"
Addsolid,Addsolid,Nao contactado,+351 210 103 950,geral@addsolid.com,https://www.addsolid.com,"Estrada da Ponte, 2, Alfragide, 2610-141 Amadora",Amadora,Lisboa,,Perfil: Investimento e promoção imobiliária | Notas: Promotora focada em projetos residenciais na Área Metropolitana de Lisboa. | Fontes: turn5view2
"ADRIPARTE GEST, S.A.","ADRIPARTE GEST, S.A.",Nao contactado,+351 226 158 550,geral@adriparte.pt,http://www.adriparte.pt,"Rua Manuel Pinto de Azevedo, 860, 4.º D, 4100-320 Porto",Porto,Porto,,"Perfil: Promoção imobiliária e equity partner | Notas: Atua em projetos premium e de reabilitação, sobretudo em Porto e Lisboa. | Fontes: turn5view4"
Atenor Portugal,Atenor Portugal,Nao contactado,,vanderelst@atenor.eu,https://www.atenor.eu,"Rua Carlos Testa, n.º 1-2B, 1050-046 Lisboa",Lisboa,Lisboa,,Perfil: Promotora urbana internacional | Notas: Promotora com foco em projetos urbanos sustentáveis; contacto público encontrado sobretudo por email. | Fontes: turn7view0
AVENUE,AVENUE,Nao contactado,+351 215 989 523,geral@avenue.pt,https://www.avenue.pt,"Rua Serpa Pinto, n.º 14A, 3.º, 1200-445 Lisboa",Lisboa,Lisboa,,"Perfil: Promoção e gestão de projetos imobiliários | Notas: Desenvolve projetos residenciais, escritórios e reabilitação em Lisboa e Porto. | Fontes: turn7view1"
BESIX RED Portugal,BESIX RED Portugal,Nao contactado,+351 216 037 894,info@besixred.com,https://www.besixred.com,"Avenida Duque de Loulé 106, Piso 9, 1050-093 Lisboa",Lisboa,Lisboa,,"Perfil: Promoção imobiliária pan-europeia | Notas: Atua em residencial, escritórios, retalho e usos mistos. | Fontes: turn7view3"
Bondstone,Bondstone,Nao contactado,+351 211 349 157,info@bondstone.com,https://www.bondstone.com,"Rua Castilho 39, 10C, 1250-068 Lisboa",Lisboa,Lisboa,,Perfil: Investment & management firm com atividade promotora | Notas: Plataforma imobiliária com forte componente de investimento e desenvolvimento. | Fontes: turn10view0
Castro Group,Castro Group,Nao contactado,+351 253 461 462,geral@castro-group.pt,https://www.castro-group.pt,"Avenida 31 de Janeiro, 307, 4715-052 Braga",Braga,Braga,,"Perfil: Promoção, construção e gestão de ativos imobiliários | Notas: Grupo com várias áreas de atividade ligadas ao imobiliário e construção. | Fontes: turn10view1"
Civilria,Civilria,Nao contactado,+351 234 840 570,artur.varum@civilria.pt,https://www.civilria.pt,"Rua Cristóvão Pinho Queimado, n.º 33, piso 3, escritório 7, 3750-320 Aveiro",Aveiro,Aveiro,,Perfil: Construção e promoção imobiliária | Notas: Promotora/construtora com dezenas de empreendimentos executados. | Fontes: turn10view2
CO.OP.HOMES,CO.OP.HOMES,Nao contactado,+351 929 341 732,info@co-op-homes.com,https://co-op-homes.com,"Rua Seara Nova, 5, Escritório 104, 1250-002 Lisboa",Lisboa,Lisboa,,Perfil: Habitação cooperativa / promoção imobiliária | Notas: Modelo cooperativo com desenvolvimento residencial em Lisboa. | Fontes: turn10view3; turn11search1; turn11search10
SOLYD Property Developers,SOLYD Property Developers,Nao contactado,+351 210 995 450,info@solyd.pt,https://www.solyd.pt,"Edifício Atlas III, Av. José Gomes Ferreira, n.º 13, 5.º, Miraflores, 1495-139 Algés",Algés,Lisboa,,Perfil: Promoção imobiliária residencial | Notas: Promotora focada em construção nova para segmento médio e médio-alto. | Fontes: turn9view0
Vanguard Properties,Vanguard Properties,Nao contactado,+351 215 814 094,info@vangproperties.com,https://www.vangproperties.com,"Edifício Tivoli Fórum, Av. da Liberdade 180 A/E, 1250-146 Lisboa",Lisboa,Lisboa,,Perfil: Promoção imobiliária premium/luxo | Notas: Grande promotor nacional com projetos residenciais e turísticos de gama alta. | Fontes: turn9view1; turn8search0
JPS GROUP,JPS GROUP,Nao contactado,+351 218 371 025,secretariado@jpsgroup.pt,https://www.jpsgroup.pt,"Av. Almirante Gago Coutinho, n.º 126, Lisboa",Lisboa,Lisboa,,"Perfil: Promoção imobiliária, construção e mediação | Notas: Grupo português com promotora, construtora e imobiliária próprias. | Fontes: turn8search2; turn8search18"
